leafIndex;computations
0;1
1;0
2;1
3;0
4;1
5;0
6;1
7;0
8;1
9;0
10;1
11;0
12;1
13;0
14;1
15;0
16;1
17;1
18;2
19;1
20;2
21;1
22;2
23;1
24;2
25;1
26;2
27;1
28;2
29;1
30;2
31;1
32;1
33;1
34;2
35;1
36;2
37;1
38;2
39;1
40;2
41;1
42;2
43;1
44;2
45;1
46;2
47;1
48;1
49;1
50;2
51;1
52;2
53;1
54;2
55;1
56;2
57;1
58;2
59;1
60;2
61;1
62;2
63;1
64;1
65;1
66;2
67;1
68;2
69;1
70;2
71;1
72;2
73;1
74;2
75;1
76;2
77;1
78;2
79;1
80;1
81;1
82;2
83;1
84;2
85;1
86;2
87;1
88;2
89;1
90;2
91;1
92;2
93;1
94;2
95;1
96;1
97;1
98;2
99;1
100;2
101;1
102;2
103;1
104;2
105;1
106;2
107;1
108;2
109;1
110;2
111;1
112;1
113;1
114;2
115;1
116;2
117;1
118;2
119;1
120;2
121;1
122;2
123;1
124;2
125;1
126;2
127;1
128;1
129;1
130;2
131;1
132;2
133;1
134;2
135;1
136;2
137;1
138;2
139;1
140;2
141;1
142;2
143;1
144;1
145;1
146;2
147;1
148;2
149;1
150;2
151;1
152;2
153;1
154;2
155;1
156;2
157;1
158;2
159;1
160;1
161;1
162;2
163;1
164;2
165;1
166;2
167;1
168;2
169;1
170;2
171;1
172;2
173;1
174;2
175;1
176;1
177;1
178;2
179;1
180;2
181;1
182;2
183;1
184;2
185;1
186;2
187;1
188;2
189;1
190;2
191;1
192;1
193;1
194;2
195;1
196;2
197;1
198;2
199;1
200;2
201;1
202;2
203;1
204;2
205;1
206;2
207;1
208;1
209;1
210;2
211;1
212;2
213;1
214;2
215;1
216;2
217;1
218;2
219;1
220;2
221;1
222;2
223;1
224;1
225;1
226;2
227;1
228;2
229;1
230;2
231;1
232;2
233;1
234;2
235;1
236;2
237;1
238;2
239;1
240;1
241;1
242;2
243;1
244;2
245;1
246;2
247;1
248;2
249;1
250;2
251;1
252;2
253;1
254;2
255;1
